"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 26 04:20:17 GMT 2021","Sun Dec 26 04:20:18 GMT 2021","1399","","SEO Friendly","","","","All images have alt tags",""
"passed","Sun Dec 26 04:19:16 GMT 2021","Sun Dec 26 04:19:20 GMT 2021","3600","","Menu on top","","","","Show the menu on top",""
"passed","Sun Dec 26 04:19:21 GMT 2021","Sun Dec 26 04:19:22 GMT 2021","787","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Sun Dec 26 04:19:26 GMT 2021","Sun Dec 26 04:19:27 GMT 2021","969","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Sun Dec 26 04:20:15 GMT 2021","Sun Dec 26 04:20:16 GMT 2021","999","","SEO Friendly","","","","Have only one h1 element",""
"passed","Sun Dec 26 04:20:21 GMT 2021","Sun Dec 26 04:20:22 GMT 2021","547","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Sun Dec 26 04:20:19 GMT 2021","Sun Dec 26 04:20:20 GMT 2021","605","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Sun Dec 26 04:20:27 GMT 2021","Sun Dec 26 04:22:15 GMT 2021","108446","","Link valid and working","","","","Links are valid and working",""
"passed","Sun Dec 26 04:19:32 GMT 2021","Sun Dec 26 04:20:04 GMT 2021","32074","","Performance with lighthouse","","","","Check the performance",""
"passed","Sun Dec 26 04:19:25 GMT 2021","Sun Dec 26 04:19:25 GMT 2021","732","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Sun Dec 26 04:19:25 GMT 2021","Sun Dec 26 04:19:26 GMT 2021","738","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Sun Dec 26 04:20:21 GMT 2021","Sun Dec 26 04:20:21 GMT 2021","469","","SEO Friendly","","","","All canonicals are valid",""
"passed","Sun Dec 26 04:19:24 GMT 2021","Sun Dec 26 04:19:25 GMT 2021","849","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Sun Dec 26 04:19:22 GMT 2021","Sun Dec 26 04:19:23 GMT 2021","848","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Sun Dec 26 04:20:09 GMT 2021","Sun Dec 26 04:20:10 GMT 2021","1267","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Sun Dec 26 04:20:10 GMT 2021","Sun Dec 26 04:20:11 GMT 2021","482","","Schema definition and robots.txt","","","","Have a robots.txt",""
"failed","Sun Dec 26 04:19:23 GMT 2021","Sun Dec 26 04:19:24 GMT 2021","1096","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Sun Dec 26 04:20:16 GMT 2021","Sun Dec 26 04:20:17 GMT 2021","551","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Sun Dec 26 04:20:20 GMT 2021","Sun Dec 26 04:20:21 GMT 2021","756","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"failed","Sun Dec 26 04:19:20 GMT 2021","Sun Dec 26 04:19:21 GMT 2021","1121","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
