"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 13 10:54:32 GMT 2021","Mon Dec 13 10:55:02 GMT 2021","30352","","Performance with lighthouse","","","","Check the performance",""
"passed","Mon Dec 13 10:55:18 GMT 2021","Mon Dec 13 10:55:19 GMT 2021","419","","SEO Friendly","","","","HTML has a lang attribute set",""
"passed","Mon Dec 13 10:55:17 GMT 2021","Mon Dec 13 10:55:18 GMT 2021","616","","SEO Friendly","","","","Content is divided by multiple subheadings",""
"passed","Mon Dec 13 10:55:07 GMT 2021","Mon Dec 13 10:55:08 GMT 2021","1078","","Schema definition and robots.txt","","","","Have a robots meta tag",""
"passed","Mon Dec 13 10:54:22 GMT 2021","Mon Dec 13 10:54:23 GMT 2021","940","","Menu on top","","","","Show the submenu on Bonos (example #2)",""
"passed","Mon Dec 13 10:54:25 GMT 2021","Mon Dec 13 10:54:26 GMT 2021","918","","Menu on top","","","","Show the submenu on Casinos (example #6)",""
"passed","Mon Dec 13 10:54:27 GMT 2021","Mon Dec 13 10:54:28 GMT 2021","785","","Menu on top","","","","Show the submenu on eSports (example #8)",""
"passed","Mon Dec 13 10:55:17 GMT 2021","Mon Dec 13 10:55:17 GMT 2021","443","","SEO Friendly","","","","Have one heading with a title and meta description",""
"passed","Mon Dec 13 10:55:08 GMT 2021","Mon Dec 13 10:55:09 GMT 2021","578","","Schema definition and robots.txt","","","","Have a robots.txt",""
"passed","Mon Dec 13 10:54:21 GMT 2021","Mon Dec 13 10:54:22 GMT 2021","888","","Menu on top","","","","Show the submenu on Casas de Apuestas (example #1)",""
"passed","Mon Dec 13 10:54:18 GMT 2021","Mon Dec 13 10:54:21 GMT 2021","2471","","Menu on top","","","","Show the menu on top",""
"passed","Mon Dec 13 10:54:26 GMT 2021","Mon Dec 13 10:54:27 GMT 2021","791","","Menu on top","","","","Show the submenu on Poker (example #7)",""
"passed","Mon Dec 13 10:55:13 GMT 2021","Mon Dec 13 10:55:14 GMT 2021","885","","SEO Friendly","","","","Have only one h1 element",""
"passed","Mon Dec 13 10:54:23 GMT 2021","Mon Dec 13 10:54:23 GMT 2021","772","","Menu on top","","","","Show the submenu on Latinoamérica (example #3)",""
"passed","Mon Dec 13 10:54:24 GMT 2021","Mon Dec 13 10:54:25 GMT 2021","790","","Menu on top","","","","Show the submenu on Pagos (example #5)",""
"passed","Mon Dec 13 10:55:18 GMT 2021","Mon Dec 13 10:55:18 GMT 2021","607","","SEO Friendly","","","","All canonicals are valid",""
"passed","Mon Dec 13 10:54:23 GMT 2021","Mon Dec 13 10:54:24 GMT 2021","769","","Menu on top","","","","Show the submenu on Deportes (example #4)",""
"passed","Mon Dec 13 10:55:14 GMT 2021","Mon Dec 13 10:55:16 GMT 2021","1501","","SEO Friendly","","","","All images have alt tags",""
"passed","Mon Dec 13 10:55:14 GMT 2021","Mon Dec 13 10:55:14 GMT 2021","500","","SEO Friendly","","","","Have at least 2 H2 elements",""
"passed","Mon Dec 13 10:55:23 GMT 2021","Mon Dec 13 10:56:43 GMT 2021","79824","","Link valid and working","","","","Links are valid and working",""
